[PRE] Skipping all preprocessing (skip_preprocessing=on or all per-step toggles are 'on')
Resolved Slurm tools at startup: ('/usr/bin/sbatch', '/usr/bin/squeue', '/usr/bin/sacct') HPCWORK= None
[Flask] Using device for inference: cuda
Running training: torchrun --nproc_per_node=1 --rdzv_id=training --rdzv_backend=c10d --rdzv_endpoint=127.0.0.1:29500 /workspace/src/train.py --device=cuda --asr_learning_rate=1e-05 --asr_batch_size=4 --asr_epochs=10 --asr_patience=2 --asr_checkpoint=models/checkpoints/Speemo_Medium_Dataset_HPC_GPU_based_Train_100_asr --asr_lang=en --ser_learning_rate=1e-05 --ser_batch_size=4 --ser_epochs=10 --ser_dropout=0.3 --ser_patience=2 --ser_checkpoint=models/checkpoints/Speemo_Medium_Dataset_HPC_GPU_based_Train_100_ser --ser_lang=en
[Setup] Using device: cuda
[Setup] no_cuda flag set to: False
[ASR] Loading model + processor…
[ASR] Starting from pretrained: models/pretrained/en
🛠️  Debug collator output shapes: {'input_values': torch.Size([4, 75264]), 'attention_mask': torch.Size([4, 75264]), 'labels': torch.Size([4, 93])}
[ASR] Starting training with HuggingFace Trainer…
w23g0004:2714473:2714473 [0] NCCL INFO Bootstrap : Using ib0:134.61.46.233<0>
w23g0004:2714473:2714473 [0] NCCL INFO NET/Plugin : dlerror=libnccl-net.so: cannot open shared object file: No such file or directory No plugin found (libnccl-net.so), using internal implementation
w23g0004:2714473:2714473 [0] NCCL INFO cudaDriverVersion 12080
NCCL version 2.20.5+cuda12.4
w23g0004:2714473:2714676 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [1]mlx5_1:1/IB [RO]; OOB ib0:134.61.46.233<0>
w23g0004:2714473:2714676 [0] NCCL INFO Using non-device net plugin version 0
w23g0004:2714473:2714676 [0] NCCL INFO Using network IB
w23g0004:2714473:2714676 [0] NCCL INFO DMA-BUF is available on GPU device 0
w23g0004:2714473:2714676 [0] NCCL INFO comm 0x56395feb2260 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId ad000 commId 0x7ee9b225575513b6 - Init START
w23g0004:2714473:2714676 [0] NCCL INFO comm 0x56395feb2260 rank 0 nRanks 1 nNodes 1 localRanks 1 localRank 0 MNNVL 0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 00/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 01/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 02/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 03/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 04/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 05/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 06/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 07/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 08/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 09/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 10/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 11/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 12/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 13/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 14/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 15/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 16/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 17/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 18/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 19/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 20/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 21/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 22/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 23/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 24/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 25/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 26/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 27/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 28/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 29/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 30/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Channel 31/32 :    0
w23g0004:2714473:2714676 [0] NCCL INFO Trees [0] -1/-1/-1->0->-1 [1] -1/-1/-1->0->-1 [2] -1/-1/-1->0->-1 [3] -1/-1/-1->0->-1 [4] -1/-1/-1->0->-1 [5] -1/-1/-1->0->-1 [6] -1/-1/-1->0->-1 [7] -1/-1/-1->0->-1 [8] -1/-1/-1->0->-1 [9] -1/-1/-1->0->-1 [10] -1/-1/-1->0->-1 [11] -1/-1/-1->0->-1 [12] -1/-1/-1->0->-1 [13] -1/-1/-1->0->-1 [14] -1/-1/-1->0->-1 [15] -1/-1/-1->0->-1 [16] -1/-1/-1->0->-1 [17] -1/-1/-1->0->-1 [18] -1/-1/-1->0->-1 [19] -1/-1/-1->0->-1 [20] -1/-1/-1->0->-1 [21] -1/-1/-1->0->-1 [22] -1/-1/-1->0->-1 [23] -1/-1/-1->0->-1 [24] -1/-1/-1->0->-1 [25] -1/-1/-1->0->-1 [26] -1/-1/-1->0->-1 [27] -1/-1/-1->0->-1 [28] -1/-1/-1->0->-1 [29] -1/-1/-1->0->-1 [30] -1/-1/-1->0->-1 [31] -1/-1/-1->0->-1
w23g0004:2714473:2714676 [0] NCCL INFO P2P Chunksize set to 131072
w23g0004:2714473:2714676 [0] NCCL INFO Connected all rings
w23g0004:2714473:2714676 [0] NCCL INFO Connected all trees
w23g0004:2714473:2714676 [0] NCCL INFO 32 coll channels, 0 collnet channels, 0 nvls channels, 32 p2p channels, 32 p2p channels per peer
w23g0004:2714473:2714676 [0] NCCL INFO comm 0x56395feb2260 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId ad000 commId 0x7ee9b225575513b6 - Init COMPLETE
{'loss': 2.1461, 'grad_norm': 2.122772455215454, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.678, 'grad_norm': 3.0983920097351074, 'learning_rate': 2.450612653163291e-07, 'epoch': 0.03}
{'loss': 1.6987, 'grad_norm': 1.7322098016738892, 'learning_rate': 4.951237809452364e-07, 'epoch': 0.05}
{'loss': 1.6548, 'grad_norm': 1.6512372493743896, 'learning_rate': 7.451862965741435e-07, 'epoch': 0.08}
{'loss': 1.5838, 'grad_norm': 1.0879364013671875, 'learning_rate': 9.952488122030508e-07, 'epoch': 0.1}
{'loss': 1.5589, 'grad_norm': 2.568845510482788, 'learning_rate': 1.2453113278319582e-06, 'epoch': 0.13}
{'loss': 1.5473, 'grad_norm': 4.511106967926025, 'learning_rate': 1.4953738434608653e-06, 'epoch': 0.15}
{'loss': 1.5801, 'grad_norm': 2.6756792068481445, 'learning_rate': 1.7454363590897727e-06, 'epoch': 0.18}
{'loss': 1.6762, 'grad_norm': 1.8631268739700317, 'learning_rate': 1.99549887471868e-06, 'epoch': 0.2}
{'loss': 1.6158, 'grad_norm': 1.5584386587142944, 'learning_rate': 2.245561390347587e-06, 'epoch': 0.23}
{'loss': 1.603, 'grad_norm': 3.423227548599243, 'learning_rate': 2.4956239059764944e-06, 'epoch': 0.25}
{'loss': 1.644, 'grad_norm': 3.0888588428497314, 'learning_rate': 2.745686421605401e-06, 'epoch': 0.28}
{'loss': 1.5138, 'grad_norm': 2.268038511276245, 'learning_rate': 2.995748937234309e-06, 'epoch': 0.3}
{'loss': 1.4879, 'grad_norm': 12.887574195861816, 'learning_rate': 3.243310827706927e-06, 'epoch': 0.33}
{'loss': 1.435, 'grad_norm': 2.6982262134552, 'learning_rate': 3.4908727181795454e-06, 'epoch': 0.35}
{'loss': 1.3971, 'grad_norm': 2.4654431343078613, 'learning_rate': 3.7409352338084526e-06, 'epoch': 0.38}
{'loss': 1.3927, 'grad_norm': 2.134300470352173, 'learning_rate': 3.99099774943736e-06, 'epoch': 0.4}
{'loss': 1.2506, 'grad_norm': 4.8069329261779785, 'learning_rate': 4.241060265066267e-06, 'epoch': 0.43}
{'loss': 1.2581, 'grad_norm': 2.897003412246704, 'learning_rate': 4.491122780695174e-06, 'epoch': 0.45}
{'loss': 1.3198, 'grad_norm': 3.8653159141540527, 'learning_rate': 4.741185296324081e-06, 'epoch': 0.48}
{'loss': 1.3083, 'grad_norm': 2.5763027667999268, 'learning_rate': 4.991247811952989e-06, 'epoch': 0.5}
{'loss': 1.2127, 'grad_norm': 5.585659980773926, 'learning_rate': 5.2413103275818955e-06, 'epoch': 0.53}
{'loss': 1.236, 'grad_norm': 3.8528714179992676, 'learning_rate': 5.491372843210802e-06, 'epoch': 0.55}
{'loss': 1.1626, 'grad_norm': 2.9936838150024414, 'learning_rate': 5.741435358839711e-06, 'epoch': 0.58}
{'loss': 1.241, 'grad_norm': 3.1616294384002686, 'learning_rate': 5.988997249312328e-06, 'epoch': 0.6}
{'loss': 1.1878, 'grad_norm': 3.109943389892578, 'learning_rate': 6.239059764941235e-06, 'epoch': 0.63}
{'loss': 1.229, 'grad_norm': 2.4148597717285156, 'learning_rate': 6.489122280570143e-06, 'epoch': 0.65}
{'loss': 1.183, 'grad_norm': 5.240835666656494, 'learning_rate': 6.739184796199051e-06, 'epoch': 0.68}
{'loss': 1.2275, 'grad_norm': 3.745302677154541, 'learning_rate': 6.989247311827958e-06, 'epoch': 0.7}
{'loss': 1.1834, 'grad_norm': 2.665201425552368, 'learning_rate': 7.2393098274568655e-06, 'epoch': 0.73}
{'loss': 1.1143, 'grad_norm': 5.014803409576416, 'learning_rate': 7.489372343085772e-06, 'epoch': 0.75}
{'loss': 1.1377, 'grad_norm': 5.190020561218262, 'learning_rate': 7.739434858714679e-06, 'epoch': 0.78}
{'loss': 1.1062, 'grad_norm': 4.027501106262207, 'learning_rate': 7.989497374343587e-06, 'epoch': 0.8}
{'loss': 1.1751, 'grad_norm': 3.7147929668426514, 'learning_rate': 8.239559889972494e-06, 'epoch': 0.83}
{'loss': 1.142, 'grad_norm': 3.5604302883148193, 'learning_rate': 8.489622405601401e-06, 'epoch': 0.85}
{'loss': 1.0638, 'grad_norm': 3.2779035568237305, 'learning_rate': 8.739684921230308e-06, 'epoch': 0.88}
{'loss': 1.0951, 'grad_norm': 5.243470191955566, 'learning_rate': 8.989747436859216e-06, 'epoch': 0.9}
{'loss': 1.0592, 'grad_norm': 3.0747997760772705, 'learning_rate': 9.239809952488123e-06, 'epoch': 0.93}
{'loss': 1.1452, 'grad_norm': 5.766201019287109, 'learning_rate': 9.48987246811703e-06, 'epoch': 0.95}
{'loss': 0.9781, 'grad_norm': 10.359284400939941, 'learning_rate': 9.739934983745938e-06, 'epoch': 0.98}
{'eval_loss': 0.8329370021820068, 'eval_wer': 0.40351017364440184, 'eval_runtime': 1514.129, 'eval_samples_per_second': 5.284, 'eval_steps_per_second': 5.284, 'epoch': 1.0}
{'loss': 1.0015, 'grad_norm': 3.92997670173645, 'learning_rate': 9.989997499374845e-06, 'epoch': 1.0}
{'loss': 1.0721, 'grad_norm': 3.0837275981903076, 'learning_rate': 1e-05, 'epoch': 1.03}
{'loss': 0.9031, 'grad_norm': 6.994492530822754, 'learning_rate': 1e-05, 'epoch': 1.05}
{'loss': 1.0519, 'grad_norm': 3.809967279434204, 'learning_rate': 1e-05, 'epoch': 1.08}
{'loss': 1.0384, 'grad_norm': 8.803205490112305, 'learning_rate': 1e-05, 'epoch': 1.1}
{'loss': 0.9868, 'grad_norm': 4.500585079193115, 'learning_rate': 1e-05, 'epoch': 1.13}
{'loss': 1.0511, 'grad_norm': 3.208732843399048, 'learning_rate': 1e-05, 'epoch': 1.15}
{'loss': 0.9419, 'grad_norm': 3.333264112472534, 'learning_rate': 1e-05, 'epoch': 1.18}
{'loss': 0.9933, 'grad_norm': 4.743641376495361, 'learning_rate': 1e-05, 'epoch': 1.2}
{'loss': 0.9998, 'grad_norm': 4.941097736358643, 'learning_rate': 1e-05, 'epoch': 1.23}
{'loss': 0.943, 'grad_norm': 8.487266540527344, 'learning_rate': 1e-05, 'epoch': 1.25}
{'loss': 1.0046, 'grad_norm': 4.147129535675049, 'learning_rate': 1e-05, 'epoch': 1.28}
