[PRE] Skipping all preprocessing (skip_preprocessing=on or all per-step toggles are 'on')
[TRAIN][ASR] Starting ASR phase ...
Resolved Slurm tools at startup: ('/usr/bin/sbatch', '/usr/bin/squeue', '/usr/bin/sacct') HPCWORK= None
[Flask] Using device for inference: cuda
Running training: torchrun --nproc_per_node=1 --rdzv_id=training --rdzv_backend=c10d --rdzv_endpoint=127.0.0.1:29500 /workspace/src/train.py --device=cuda --phase=asr --asr_learning_rate=1e-05 --asr_batch_size=4 --asr_epochs=10 --asr_patience=2 --asr_checkpoint=models/checkpoints/Speemo_Medium_Dataset_HPC_GPU_based_Train_101_asr --asr_lang=en --ser_learning_rate=1e-05 --ser_batch_size=4 --ser_epochs=10 --ser_dropout=0.3 --ser_patience=2 --ser_checkpoint=models/checkpoints/Speemo_Medium_Dataset_HPC_GPU_based_Train_101_ser --ser_lang=en
[Setup] Using device: cuda
[Setup] no_cuda flag set to: False
[ASR] Loading model + processor…
[ASR] Starting from pretrained: models/pretrained/en
🛠️  Debug collator output shapes: {'input_values': torch.Size([4, 75264]), 'attention_mask': torch.Size([4, 75264]), 'labels': torch.Size([4, 93])}
[ASR] Starting training with HuggingFace Trainer…
w23g0004:384995:384995 [0] NCCL INFO Bootstrap : Using ib0:134.61.46.233<0>
w23g0004:384995:384995 [0] NCCL INFO NET/Plugin : dlerror=libnccl-net.so: cannot open shared object file: No such file or directory No plugin found (libnccl-net.so), using internal implementation
w23g0004:384995:384995 [0] NCCL INFO cudaDriverVersion 12080
NCCL version 2.20.5+cuda12.4
w23g0004:384995:389092 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [1]mlx5_1:1/IB [RO]; OOB ib0:134.61.46.233<0>
w23g0004:384995:389092 [0] NCCL INFO Using non-device net plugin version 0
w23g0004:384995:389092 [0] NCCL INFO Using network IB
w23g0004:384995:389092 [0] NCCL INFO DMA-BUF is available on GPU device 0
w23g0004:384995:389092 [0] NCCL INFO comm 0x5647b0e75860 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId ad000 commId 0x60b76d1c450b890d - Init START
w23g0004:384995:389092 [0] NCCL INFO comm 0x5647b0e75860 rank 0 nRanks 1 nNodes 1 localRanks 1 localRank 0 MNNVL 0
w23g0004:384995:389092 [0] NCCL INFO Channel 00/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 01/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 02/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 03/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 04/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 05/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 06/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 07/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 08/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 09/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 10/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 11/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 12/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 13/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 14/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 15/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 16/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 17/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 18/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 19/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 20/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 21/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 22/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 23/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 24/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 25/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 26/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 27/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 28/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 29/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 30/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Channel 31/32 :    0
w23g0004:384995:389092 [0] NCCL INFO Trees [0] -1/-1/-1->0->-1 [1] -1/-1/-1->0->-1 [2] -1/-1/-1->0->-1 [3] -1/-1/-1->0->-1 [4] -1/-1/-1->0->-1 [5] -1/-1/-1->0->-1 [6] -1/-1/-1->0->-1 [7] -1/-1/-1->0->-1 [8] -1/-1/-1->0->-1 [9] -1/-1/-1->0->-1 [10] -1/-1/-1->0->-1 [11] -1/-1/-1->0->-1 [12] -1/-1/-1->0->-1 [13] -1/-1/-1->0->-1 [14] -1/-1/-1->0->-1 [15] -1/-1/-1->0->-1 [16] -1/-1/-1->0->-1 [17] -1/-1/-1->0->-1 [18] -1/-1/-1->0->-1 [19] -1/-1/-1->0->-1 [20] -1/-1/-1->0->-1 [21] -1/-1/-1->0->-1 [22] -1/-1/-1->0->-1 [23] -1/-1/-1->0->-1 [24] -1/-1/-1->0->-1 [25] -1/-1/-1->0->-1 [26] -1/-1/-1->0->-1 [27] -1/-1/-1->0->-1 [28] -1/-1/-1->0->-1 [29] -1/-1/-1->0->-1 [30] -1/-1/-1->0->-1 [31] -1/-1/-1->0->-1
w23g0004:384995:389092 [0] NCCL INFO P2P Chunksize set to 131072
w23g0004:384995:389092 [0] NCCL INFO Connected all rings
w23g0004:384995:389092 [0] NCCL INFO Connected all trees
w23g0004:384995:389092 [0] NCCL INFO 32 coll channels, 0 collnet channels, 0 nvls channels, 32 p2p channels, 32 p2p channels per peer
w23g0004:384995:389092 [0] NCCL INFO comm 0x5647b0e75860 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId ad000 commId 0x60b76d1c450b890d - Init COMPLETE
{'loss': 2.1461, 'grad_norm': 2.1973166465759277, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.6781, 'grad_norm': 3.1964285373687744, 'learning_rate': 2.475618904726182e-07, 'epoch': 0.03}
{'loss': 1.6986, 'grad_norm': 2.1179585456848145, 'learning_rate': 4.951237809452364e-07, 'epoch': 0.05}
{'loss': 1.6539, 'grad_norm': 1.9592326879501343, 'learning_rate': 7.451862965741435e-07, 'epoch': 0.08}
{'loss': 1.5824, 'grad_norm': 1.2612333297729492, 'learning_rate': 9.952488122030508e-07, 'epoch': 0.1}
{'loss': 1.5553, 'grad_norm': 2.6461904048919678, 'learning_rate': 1.2428107026756691e-06, 'epoch': 0.13}
{'loss': 1.5428, 'grad_norm': 4.504066467285156, 'learning_rate': 1.4928732183045763e-06, 'epoch': 0.15}
{'loss': 1.5736, 'grad_norm': 3.1116228103637695, 'learning_rate': 1.7429357339334835e-06, 'epoch': 0.18}
{'loss': 1.6692, 'grad_norm': 1.8879979848861694, 'learning_rate': 1.9929982495623906e-06, 'epoch': 0.2}
{'loss': 1.6083, 'grad_norm': 1.8677265644073486, 'learning_rate': 2.243060765191298e-06, 'epoch': 0.23}
{'loss': 1.5946, 'grad_norm': 3.0111589431762695, 'learning_rate': 2.4931232808202054e-06, 'epoch': 0.25}
{'loss': 1.6327, 'grad_norm': 3.059979200363159, 'learning_rate': 2.7431857964491125e-06, 'epoch': 0.28}
{'loss': 1.5044, 'grad_norm': 2.3167824745178223, 'learning_rate': 2.9932483120780197e-06, 'epoch': 0.3}
{'loss': 1.4793, 'grad_norm': 12.384095191955566, 'learning_rate': 3.243310827706927e-06, 'epoch': 0.33}
{'loss': 1.4271, 'grad_norm': 2.529129981994629, 'learning_rate': 3.493373343335834e-06, 'epoch': 0.35}
{'loss': 1.3886, 'grad_norm': 2.623750925064087, 'learning_rate': 3.743435858964741e-06, 'epoch': 0.38}
{'loss': 1.386, 'grad_norm': 2.1528868675231934, 'learning_rate': 3.993498374593649e-06, 'epoch': 0.4}
{'loss': 1.2436, 'grad_norm': 4.526371479034424, 'learning_rate': 4.243560890222556e-06, 'epoch': 0.43}
{'loss': 1.2494, 'grad_norm': 3.085465669631958, 'learning_rate': 4.4936234058514635e-06, 'epoch': 0.45}
{'loss': 1.313, 'grad_norm': 3.4102635383605957, 'learning_rate': 4.74368592148037e-06, 'epoch': 0.48}
{'loss': 1.3025, 'grad_norm': 13.477933883666992, 'learning_rate': 4.993748437109278e-06, 'epoch': 0.5}
{'loss': 1.2051, 'grad_norm': 5.890321731567383, 'learning_rate': 5.243810952738185e-06, 'epoch': 0.53}
{'loss': 1.2281, 'grad_norm': 3.5862057209014893, 'learning_rate': 5.493873468367092e-06, 'epoch': 0.55}
{'loss': 1.1539, 'grad_norm': 3.2382876873016357, 'learning_rate': 5.743935983996e-06, 'epoch': 0.58}
{'loss': 1.2322, 'grad_norm': 2.5593130588531494, 'learning_rate': 5.991497874468618e-06, 'epoch': 0.6}
{'loss': 1.1797, 'grad_norm': 2.602451801300049, 'learning_rate': 6.241560390097525e-06, 'epoch': 0.63}
{'loss': 1.2206, 'grad_norm': 2.9085471630096436, 'learning_rate': 6.491622905726433e-06, 'epoch': 0.65}
{'loss': 1.1764, 'grad_norm': 11.853630065917969, 'learning_rate': 6.741685421355339e-06, 'epoch': 0.68}
{'loss': 1.2151, 'grad_norm': 3.3418052196502686, 'learning_rate': 6.991747936984247e-06, 'epoch': 0.7}
{'loss': 1.1805, 'grad_norm': 2.7634711265563965, 'learning_rate': 7.241810452613154e-06, 'epoch': 0.73}
{'loss': 1.1097, 'grad_norm': 11.452128410339355, 'learning_rate': 7.491872968242061e-06, 'epoch': 0.75}
{'loss': 1.1345, 'grad_norm': 4.6926188468933105, 'learning_rate': 7.741935483870968e-06, 'epoch': 0.78}
{'loss': 1.1001, 'grad_norm': 2.4412598609924316, 'learning_rate': 7.991997999499875e-06, 'epoch': 0.8}
{'loss': 1.1689, 'grad_norm': 5.871288776397705, 'learning_rate': 8.242060515128783e-06, 'epoch': 0.83}
{'loss': 1.1392, 'grad_norm': 3.4115347862243652, 'learning_rate': 8.49212303075769e-06, 'epoch': 0.85}
{'loss': 1.0588, 'grad_norm': 2.988074779510498, 'learning_rate': 8.742185546386598e-06, 'epoch': 0.88}
{'loss': 1.092, 'grad_norm': 4.227899551391602, 'learning_rate': 8.992248062015505e-06, 'epoch': 0.9}
{'loss': 1.054, 'grad_norm': 7.654210567474365, 'learning_rate': 9.242310577644412e-06, 'epoch': 0.93}
{'loss': 1.1397, 'grad_norm': 3.534627676010132, 'learning_rate': 9.492373093273319e-06, 'epoch': 0.95}
{'loss': 0.9754, 'grad_norm': 9.538628578186035, 'learning_rate': 9.742435608902227e-06, 'epoch': 0.98}
{'eval_loss': 0.8265454173088074, 'eval_wer': 0.41059443911792903, 'eval_runtime': 1551.9292, 'eval_samples_per_second': 5.155, 'eval_steps_per_second': 5.155, 'epoch': 1.0}
{'loss': 0.9992, 'grad_norm': 4.084896564483643, 'learning_rate': 9.992498124531134e-06, 'epoch': 1.0}
{'loss': 1.0707, 'grad_norm': 3.0190725326538086, 'learning_rate': 1e-05, 'epoch': 1.03}
{'loss': 0.9023, 'grad_norm': 8.233797073364258, 'learning_rate': 1e-05, 'epoch': 1.05}
{'loss': 1.0517, 'grad_norm': 5.158791542053223, 'learning_rate': 1e-05, 'epoch': 1.08}
{'loss': 1.0377, 'grad_norm': 1.7944588661193848, 'learning_rate': 1e-05, 'epoch': 1.1}
{'loss': 0.9883, 'grad_norm': 4.384695053100586, 'learning_rate': 1e-05, 'epoch': 1.13}
{'loss': 1.0527, 'grad_norm': 3.5671207904815674, 'learning_rate': 1e-05, 'epoch': 1.15}
{'loss': 0.9418, 'grad_norm': 3.4892163276672363, 'learning_rate': 1e-05, 'epoch': 1.18}
{'loss': 0.992, 'grad_norm': 8.432537078857422, 'learning_rate': 1e-05, 'epoch': 1.2}
{'loss': 0.9957, 'grad_norm': 11.503260612487793, 'learning_rate': 1e-05, 'epoch': 1.23}
{'loss': 0.9437, 'grad_norm': 8.188349723815918, 'learning_rate': 1e-05, 'epoch': 1.25}
