[DIST] MASTER_ADDR=n23g0030 MASTER_PORT=29500 NNODES=1 GPUS_PER_NODE=1
[PRE] Skipping all preprocessing (skip_preprocessing=on or all per-step toggles are 'on')
[TRAIN][ASR] Starting ASR phase ...
[Setup] Using device: cuda
[Setup] no_cuda flag set to: False
[ASR] Loading model + processor…
[ASR] Starting from pretrained: models/pretrained/en
🛠️  Debug collator output shapes: {'input_values': torch.Size([4, 75264]), 'attention_mask': torch.Size([4, 75264]), 'labels': torch.Size([4, 93])}
[ASR] Starting training with HuggingFace Trainer…
n23g0030:1367250:1367250 [0] NCCL INFO Bootstrap : Using ib0:134.61.46.226<0>
n23g0030:1367250:1367250 [0] NCCL INFO NET/Plugin : dlerror=libnccl-net.so: cannot open shared object file: No such file or directory No plugin found (libnccl-net.so), using internal implementation
n23g0030:1367250:1367250 [0] NCCL INFO cudaDriverVersion 12080
NCCL version 2.20.5+cuda12.4
n23g0030:1367250:1367330 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [1]mlx5_1:1/IB [RO]; OOB ib0:134.61.46.226<0>
n23g0030:1367250:1367330 [0] NCCL INFO Using non-device net plugin version 0
n23g0030:1367250:1367330 [0] NCCL INFO Using network IB
n23g0030:1367250:1367330 [0] NCCL INFO DMA-BUF is available on GPU device 0
n23g0030:1367250:1367330 [0] NCCL INFO comm 0x5564168cc140 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 9d000 commId 0x2f2b3742e833e82f - Init START
n23g0030:1367250:1367330 [0] NCCL INFO comm 0x5564168cc140 rank 0 nRanks 1 nNodes 1 localRanks 1 localRank 0 MNNVL 0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 00/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 01/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 02/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 03/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 04/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 05/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 06/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 07/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 08/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 09/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 10/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 11/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 12/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 13/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 14/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 15/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 16/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 17/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 18/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 19/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 20/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 21/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 22/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 23/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 24/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 25/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 26/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 27/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 28/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 29/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 30/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Channel 31/32 :    0
n23g0030:1367250:1367330 [0] NCCL INFO Trees [0] -1/-1/-1->0->-1 [1] -1/-1/-1->0->-1 [2] -1/-1/-1->0->-1 [3] -1/-1/-1->0->-1 [4] -1/-1/-1->0->-1 [5] -1/-1/-1->0->-1 [6] -1/-1/-1->0->-1 [7] -1/-1/-1->0->-1 [8] -1/-1/-1->0->-1 [9] -1/-1/-1->0->-1 [10] -1/-1/-1->0->-1 [11] -1/-1/-1->0->-1 [12] -1/-1/-1->0->-1 [13] -1/-1/-1->0->-1 [14] -1/-1/-1->0->-1 [15] -1/-1/-1->0->-1 [16] -1/-1/-1->0->-1 [17] -1/-1/-1->0->-1 [18] -1/-1/-1->0->-1 [19] -1/-1/-1->0->-1 [20] -1/-1/-1->0->-1 [21] -1/-1/-1->0->-1 [22] -1/-1/-1->0->-1 [23] -1/-1/-1->0->-1 [24] -1/-1/-1->0->-1 [25] -1/-1/-1->0->-1 [26] -1/-1/-1->0->-1 [27] -1/-1/-1->0->-1 [28] -1/-1/-1->0->-1 [29] -1/-1/-1->0->-1 [30] -1/-1/-1->0->-1 [31] -1/-1/-1->0->-1
n23g0030:1367250:1367330 [0] NCCL INFO P2P Chunksize set to 131072
n23g0030:1367250:1367330 [0] NCCL INFO Connected all rings
n23g0030:1367250:1367330 [0] NCCL INFO Connected all trees
n23g0030:1367250:1367330 [0] NCCL INFO 32 coll channels, 0 collnet channels, 0 nvls channels, 32 p2p channels, 32 p2p channels per peer
n23g0030:1367250:1367330 [0] NCCL INFO comm 0x5564168cc140 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 9d000 commId 0x2f2b3742e833e82f - Init COMPLETE
{'loss': 2.1461, 'grad_norm': 2.0726144313812256, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.6781, 'grad_norm': 3.463352918624878, 'learning_rate': 2.4256064016004e-07, 'epoch': 0.03}
{'loss': 1.6983, 'grad_norm': 2.050931215286255, 'learning_rate': 4.901225306326582e-07, 'epoch': 0.05}
{'loss': 1.6541, 'grad_norm': 1.8870638608932495, 'learning_rate': 7.401850462615655e-07, 'epoch': 0.08}
{'loss': 1.5826, 'grad_norm': 1.2343045473098755, 'learning_rate': 9.902475618904727e-07, 'epoch': 0.1}
{'loss': 1.5558, 'grad_norm': 2.3344244956970215, 'learning_rate': 1.2403100775193799e-06, 'epoch': 0.13}
{'loss': 1.5434, 'grad_norm': 4.109825611114502, 'learning_rate': 1.490372593148287e-06, 'epoch': 0.15}
{'loss': 1.5744, 'grad_norm': 2.998105049133301, 'learning_rate': 1.7404351087771944e-06, 'epoch': 0.18}
{'loss': 1.6697, 'grad_norm': 2.0666937828063965, 'learning_rate': 1.9904976244061016e-06, 'epoch': 0.2}
{'loss': 1.6093, 'grad_norm': 1.8451515436172485, 'learning_rate': 2.2405601400350087e-06, 'epoch': 0.23}
{'loss': 1.5951, 'grad_norm': 3.2243120670318604, 'learning_rate': 2.4906226556639163e-06, 'epoch': 0.25}
{'loss': 1.6337, 'grad_norm': 3.0229337215423584, 'learning_rate': 2.7406851712928235e-06, 'epoch': 0.28}
{'loss': 1.5058, 'grad_norm': 2.367513656616211, 'learning_rate': 2.9907476869217307e-06, 'epoch': 0.3}
{'loss': 1.4809, 'grad_norm': 12.294800758361816, 'learning_rate': 3.240810202550638e-06, 'epoch': 0.33}
{'loss': 1.4274, 'grad_norm': 2.594047784805298, 'learning_rate': 3.4908727181795454e-06, 'epoch': 0.35}
{'loss': 1.3907, 'grad_norm': 2.5360405445098877, 'learning_rate': 3.7409352338084526e-06, 'epoch': 0.38}
{'loss': 1.3878, 'grad_norm': 2.2205960750579834, 'learning_rate': 3.99099774943736e-06, 'epoch': 0.4}
{'loss': 1.2442, 'grad_norm': 4.435981750488281, 'learning_rate': 4.241060265066267e-06, 'epoch': 0.43}
{'loss': 1.2529, 'grad_norm': 2.9903721809387207, 'learning_rate': 4.491122780695174e-06, 'epoch': 0.45}
{'loss': 1.3162, 'grad_norm': 8.520907402038574, 'learning_rate': 4.741185296324081e-06, 'epoch': 0.48}
{'loss': 1.3035, 'grad_norm': 2.896367073059082, 'learning_rate': 4.991247811952989e-06, 'epoch': 0.5}
{'loss': 1.2089, 'grad_norm': 5.279190540313721, 'learning_rate': 5.2413103275818955e-06, 'epoch': 0.53}
{'loss': 1.2313, 'grad_norm': 4.16030216217041, 'learning_rate': 5.491372843210802e-06, 'epoch': 0.55}
{'loss': 1.1582, 'grad_norm': 3.1243433952331543, 'learning_rate': 5.741435358839711e-06, 'epoch': 0.58}
{'loss': 1.2372, 'grad_norm': 2.732699155807495, 'learning_rate': 5.988997249312328e-06, 'epoch': 0.6}
{'loss': 1.1845, 'grad_norm': 2.6709907054901123, 'learning_rate': 6.239059764941235e-06, 'epoch': 0.63}
{'loss': 1.225, 'grad_norm': 2.674222946166992, 'learning_rate': 6.489122280570143e-06, 'epoch': 0.65}
{'loss': 1.1809, 'grad_norm': 5.995087146759033, 'learning_rate': 6.739184796199051e-06, 'epoch': 0.68}
{'loss': 1.2227, 'grad_norm': 3.459648609161377, 'learning_rate': 6.989247311827958e-06, 'epoch': 0.7}
{'loss': 1.1832, 'grad_norm': 3.345557689666748, 'learning_rate': 7.2393098274568655e-06, 'epoch': 0.73}
{'loss': 1.1132, 'grad_norm': 4.557153701782227, 'learning_rate': 7.489372343085772e-06, 'epoch': 0.75}
{'loss': 1.1337, 'grad_norm': 4.879913330078125, 'learning_rate': 7.739434858714679e-06, 'epoch': 0.78}
{'loss': 1.1033, 'grad_norm': 2.249894857406616, 'learning_rate': 7.989497374343587e-06, 'epoch': 0.8}
{'loss': 1.17, 'grad_norm': 3.5155045986175537, 'learning_rate': 8.239559889972494e-06, 'epoch': 0.83}
{'loss': 1.1367, 'grad_norm': 3.582855224609375, 'learning_rate': 8.489622405601401e-06, 'epoch': 0.85}
{'loss': 1.0607, 'grad_norm': 3.6043457984924316, 'learning_rate': 8.739684921230308e-06, 'epoch': 0.88}
{'loss': 1.0911, 'grad_norm': 4.610054969787598, 'learning_rate': 8.989747436859216e-06, 'epoch': 0.9}
{'loss': 1.0523, 'grad_norm': 5.269175052642822, 'learning_rate': 9.239809952488123e-06, 'epoch': 0.93}
{'loss': 1.1425, 'grad_norm': 4.635277271270752, 'learning_rate': 9.48987246811703e-06, 'epoch': 0.95}
{'loss': 0.9772, 'grad_norm': 7.823476314544678, 'learning_rate': 9.739934983745938e-06, 'epoch': 0.98}
{'eval_loss': 0.8300703167915344, 'eval_wer': 0.406612868861191, 'eval_runtime': 1494.7457, 'eval_samples_per_second': 5.352, 'eval_steps_per_second': 5.352, 'epoch': 1.0}
{'loss': 0.9999, 'grad_norm': 3.863704204559326, 'learning_rate': 9.989997499374845e-06, 'epoch': 1.0}
{'loss': 1.0697, 'grad_norm': 3.145880937576294, 'learning_rate': 1e-05, 'epoch': 1.03}
{'loss': 0.9019, 'grad_norm': 5.961219787597656, 'learning_rate': 1e-05, 'epoch': 1.05}
{'loss': 1.0489, 'grad_norm': 9.527113914489746, 'learning_rate': 1e-05, 'epoch': 1.08}
{'loss': 1.0367, 'grad_norm': 1.8034316301345825, 'learning_rate': 1e-05, 'epoch': 1.1}
{'loss': 0.989, 'grad_norm': 6.659704685211182, 'learning_rate': 1e-05, 'epoch': 1.13}
{'loss': 1.0531, 'grad_norm': 4.7870774269104, 'learning_rate': 1e-05, 'epoch': 1.15}
