[DIST] MASTER_ADDR=w23g0011 MASTER_PORT=29500 NNODES=1 GPUS_PER_NODE=1
[PRE] Skipping all preprocessing (skip_preprocessing=on or all per-step toggles are 'on')
[TRAIN][ASR] Starting ASR phase ...
[Setup] Using device: cuda
[Setup] no_cuda flag set to: False
[ASR] Loading model + processor…
[ASR] Starting from pretrained: models/pretrained/en
🛠️  Debug collator output shapes: {'input_values': torch.Size([4, 75264]), 'attention_mask': torch.Size([4, 75264]), 'labels': torch.Size([4, 93])}
[ASR] Starting training with HuggingFace Trainer…
w23g0011:3146963:3146963 [0] NCCL INFO Bootstrap : Using ib0:134.61.46.240<0>
w23g0011:3146963:3146963 [0] NCCL INFO NET/Plugin : dlerror=libnccl-net.so: cannot open shared object file: No such file or directory No plugin found (libnccl-net.so), using internal implementation
w23g0011:3146963:3146963 [0] NCCL INFO cudaDriverVersion 12080
NCCL version 2.20.5+cuda12.4
w23g0011:3146963:3147062 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [1]mlx5_1:1/IB [RO]; OOB ib0:134.61.46.240<0>
w23g0011:3146963:3147062 [0] NCCL INFO Using non-device net plugin version 0
w23g0011:3146963:3147062 [0] NCCL INFO Using network IB
w23g0011:3146963:3147062 [0] NCCL INFO DMA-BUF is available on GPU device 0
w23g0011:3146963:3147062 [0] NCCL INFO comm 0x561025632960 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 1b000 commId 0xc37f04ccdbe34f36 - Init START
w23g0011:3146963:3147062 [0] NCCL INFO Setting affinity for GPU 0 to 03c0
w23g0011:3146963:3147062 [0] NCCL INFO comm 0x561025632960 rank 0 nRanks 1 nNodes 1 localRanks 1 localRank 0 MNNVL 0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 00/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 01/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 02/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 03/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 04/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 05/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 06/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 07/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 08/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 09/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 10/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 11/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 12/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 13/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 14/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 15/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 16/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 17/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 18/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 19/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 20/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 21/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 22/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 23/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 24/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 25/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 26/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 27/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 28/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 29/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 30/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Channel 31/32 :    0
w23g0011:3146963:3147062 [0] NCCL INFO Trees [0] -1/-1/-1->0->-1 [1] -1/-1/-1->0->-1 [2] -1/-1/-1->0->-1 [3] -1/-1/-1->0->-1 [4] -1/-1/-1->0->-1 [5] -1/-1/-1->0->-1 [6] -1/-1/-1->0->-1 [7] -1/-1/-1->0->-1 [8] -1/-1/-1->0->-1 [9] -1/-1/-1->0->-1 [10] -1/-1/-1->0->-1 [11] -1/-1/-1->0->-1 [12] -1/-1/-1->0->-1 [13] -1/-1/-1->0->-1 [14] -1/-1/-1->0->-1 [15] -1/-1/-1->0->-1 [16] -1/-1/-1->0->-1 [17] -1/-1/-1->0->-1 [18] -1/-1/-1->0->-1 [19] -1/-1/-1->0->-1 [20] -1/-1/-1->0->-1 [21] -1/-1/-1->0->-1 [22] -1/-1/-1->0->-1 [23] -1/-1/-1->0->-1 [24] -1/-1/-1->0->-1 [25] -1/-1/-1->0->-1 [26] -1/-1/-1->0->-1 [27] -1/-1/-1->0->-1 [28] -1/-1/-1->0->-1 [29] -1/-1/-1->0->-1 [30] -1/-1/-1->0->-1 [31] -1/-1/-1->0->-1
w23g0011:3146963:3147062 [0] NCCL INFO P2P Chunksize set to 131072
w23g0011:3146963:3147062 [0] NCCL INFO Connected all rings
w23g0011:3146963:3147062 [0] NCCL INFO Connected all trees
w23g0011:3146963:3147062 [0] NCCL INFO 32 coll channels, 0 collnet channels, 0 nvls channels, 32 p2p channels, 32 p2p channels per peer
w23g0011:3146963:3147062 [0] NCCL INFO comm 0x561025632960 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 1b000 commId 0xc37f04ccdbe34f36 - Init COMPLETE
{'loss': 2.1461, 'grad_norm': 2.0478732585906982, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.6781, 'grad_norm': 2.9959306716918945, 'learning_rate': 2.450612653163291e-07, 'epoch': 0.03}
{'loss': 1.6986, 'grad_norm': 1.9763554334640503, 'learning_rate': 4.951237809452364e-07, 'epoch': 0.05}
{'loss': 1.6548, 'grad_norm': 1.67292058467865, 'learning_rate': 7.426856714178546e-07, 'epoch': 0.08}
{'loss': 1.5836, 'grad_norm': 1.1115273237228394, 'learning_rate': 9.927481870467618e-07, 'epoch': 0.1}
{'loss': 1.5575, 'grad_norm': 2.4425201416015625, 'learning_rate': 1.2428107026756691e-06, 'epoch': 0.13}
{'loss': 1.5462, 'grad_norm': 4.188841819763184, 'learning_rate': 1.4928732183045763e-06, 'epoch': 0.15}
{'loss': 1.5776, 'grad_norm': 3.032761335372925, 'learning_rate': 1.7429357339334835e-06, 'epoch': 0.18}
{'loss': 1.6738, 'grad_norm': 1.8203871250152588, 'learning_rate': 1.9929982495623906e-06, 'epoch': 0.2}
{'loss': 1.6133, 'grad_norm': 1.670332670211792, 'learning_rate': 2.243060765191298e-06, 'epoch': 0.23}
{'loss': 1.5997, 'grad_norm': 3.378079414367676, 'learning_rate': 2.4931232808202054e-06, 'epoch': 0.25}
{'loss': 1.64, 'grad_norm': 2.9967446327209473, 'learning_rate': 2.7406851712928235e-06, 'epoch': 0.28}
{'loss': 1.5121, 'grad_norm': 2.2212183475494385, 'learning_rate': 2.9907476869217307e-06, 'epoch': 0.3}
{'loss': 1.4863, 'grad_norm': 13.073225021362305, 'learning_rate': 3.240810202550638e-06, 'epoch': 0.33}
{'loss': 1.4338, 'grad_norm': 2.5949010848999023, 'learning_rate': 3.4908727181795454e-06, 'epoch': 0.35}
{'loss': 1.3957, 'grad_norm': 2.8292031288146973, 'learning_rate': 3.7409352338084526e-06, 'epoch': 0.38}
{'loss': 1.393, 'grad_norm': 1.905947208404541, 'learning_rate': 3.99099774943736e-06, 'epoch': 0.4}
{'loss': 1.253, 'grad_norm': 4.231900215148926, 'learning_rate': 4.241060265066267e-06, 'epoch': 0.43}
{'loss': 1.2603, 'grad_norm': 2.900693893432617, 'learning_rate': 4.491122780695174e-06, 'epoch': 0.45}
{'loss': 1.3231, 'grad_norm': 4.349104404449463, 'learning_rate': 4.741185296324081e-06, 'epoch': 0.48}
{'loss': 1.3097, 'grad_norm': 2.868147134780884, 'learning_rate': 4.991247811952989e-06, 'epoch': 0.5}
{'loss': 1.2141, 'grad_norm': 6.88571834564209, 'learning_rate': 5.2413103275818955e-06, 'epoch': 0.53}
{'loss': 1.239, 'grad_norm': 4.129746437072754, 'learning_rate': 5.491372843210802e-06, 'epoch': 0.55}
{'loss': 1.1643, 'grad_norm': 3.496342182159424, 'learning_rate': 5.741435358839711e-06, 'epoch': 0.58}
{'loss': 1.2415, 'grad_norm': 2.7111382484436035, 'learning_rate': 5.991497874468618e-06, 'epoch': 0.6}
{'loss': 1.1903, 'grad_norm': 10.40990924835205, 'learning_rate': 6.241560390097525e-06, 'epoch': 0.63}
{'loss': 1.2327, 'grad_norm': 2.8048999309539795, 'learning_rate': 6.491622905726433e-06, 'epoch': 0.65}
{'loss': 1.1869, 'grad_norm': 5.678741455078125, 'learning_rate': 6.741685421355339e-06, 'epoch': 0.68}
{'loss': 1.2262, 'grad_norm': 4.191824436187744, 'learning_rate': 6.991747936984247e-06, 'epoch': 0.7}
{'loss': 1.1868, 'grad_norm': 2.76181960105896, 'learning_rate': 7.241810452613154e-06, 'epoch': 0.73}
{'loss': 1.1167, 'grad_norm': 4.989218711853027, 'learning_rate': 7.491872968242061e-06, 'epoch': 0.75}
{'loss': 1.1393, 'grad_norm': 5.117714881896973, 'learning_rate': 7.741935483870968e-06, 'epoch': 0.78}
{'loss': 1.1104, 'grad_norm': 2.0617735385894775, 'learning_rate': 7.991997999499875e-06, 'epoch': 0.8}
{'loss': 1.1743, 'grad_norm': 4.639688968658447, 'learning_rate': 8.242060515128783e-06, 'epoch': 0.83}
{'loss': 1.1399, 'grad_norm': 3.6238622665405273, 'learning_rate': 8.49212303075769e-06, 'epoch': 0.85}
{'loss': 1.0633, 'grad_norm': 4.341843128204346, 'learning_rate': 8.742185546386598e-06, 'epoch': 0.88}
{'loss': 1.0933, 'grad_norm': 20.96160316467285, 'learning_rate': 8.992248062015505e-06, 'epoch': 0.9}
{'loss': 1.0589, 'grad_norm': 3.4870502948760986, 'learning_rate': 9.239809952488123e-06, 'epoch': 0.93}
{'loss': 1.1442, 'grad_norm': 7.522727966308594, 'learning_rate': 9.48987246811703e-06, 'epoch': 0.95}
{'loss': 0.9794, 'grad_norm': 16.256099700927734, 'learning_rate': 9.739934983745938e-06, 'epoch': 0.98}
{'eval_loss': 0.8335930109024048, 'eval_wer': 0.4115265793118142, 'eval_runtime': 1461.3247, 'eval_samples_per_second': 5.474, 'eval_steps_per_second': 5.474, 'epoch': 1.0}
{'loss': 1.0036, 'grad_norm': 4.921248912811279, 'learning_rate': 9.989997499374845e-06, 'epoch': 1.0}
{'loss': 1.0709, 'grad_norm': 3.0597612857818604, 'learning_rate': 1e-05, 'epoch': 1.03}
{'loss': 0.9037, 'grad_norm': 6.8653244972229, 'learning_rate': 1e-05, 'epoch': 1.05}
{'loss': 1.0524, 'grad_norm': 3.5646910667419434, 'learning_rate': 1e-05, 'epoch': 1.08}
{'loss': 1.0385, 'grad_norm': 1.6325191259384155, 'learning_rate': 1e-05, 'epoch': 1.1}
{'loss': 0.9886, 'grad_norm': 4.512208461761475, 'learning_rate': 1e-05, 'epoch': 1.13}
{'loss': 1.0547, 'grad_norm': 4.570380210876465, 'learning_rate': 1e-05, 'epoch': 1.15}
{'loss': 0.9448, 'grad_norm': 4.623997688293457, 'learning_rate': 1e-05, 'epoch': 1.18}
