[DIST] MASTER_ADDR=n23g0004 MASTER_PORT=29500 NNODES=1 GPUS_PER_NODE=1
[PRE] Skipping all preprocessing (skip_preprocessing=on or all per-step toggles are 'on')
[TRAIN][ASR] Starting ASR phase ...
[Setup] Using device: cuda
[Setup] no_cuda flag set to: False
[ASR] Loading model + processor…
[ASR] Starting from pretrained: models/pretrained/en
🛠️  Debug collator output shapes: {'input_values': torch.Size([4, 75264]), 'attention_mask': torch.Size([4, 75264]), 'labels': torch.Size([4, 93])}
[ASR] Starting training with HuggingFace Trainer…
n23g0004:1893559:1893559 [0] NCCL INFO Bootstrap : Using ib0:134.61.46.192<0>
n23g0004:1893559:1893559 [0] NCCL INFO NET/Plugin : dlerror=libnccl-net.so: cannot open shared object file: No such file or directory No plugin found (libnccl-net.so), using internal implementation
n23g0004:1893559:1893559 [0] NCCL INFO cudaDriverVersion 12080
NCCL version 2.20.5+cuda12.4
n23g0004:1893559:1893657 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [1]mlx5_1:1/IB [RO]; OOB ib0:134.61.46.192<0>
n23g0004:1893559:1893657 [0] NCCL INFO Using non-device net plugin version 0
n23g0004:1893559:1893657 [0] NCCL INFO Using network IB
n23g0004:1893559:1893657 [0] NCCL INFO DMA-BUF is available on GPU device 0
n23g0004:1893559:1893657 [0] NCCL INFO comm 0x5555fd538fe0 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 2c000 commId 0xaa6c108e1e6adf77 - Init START
n23g0004:1893559:1893657 [0] NCCL INFO comm 0x5555fd538fe0 rank 0 nRanks 1 nNodes 1 localRanks 1 localRank 0 MNNVL 0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 00/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 01/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 02/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 03/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 04/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 05/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 06/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 07/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 08/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 09/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 10/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 11/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 12/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 13/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 14/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 15/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 16/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 17/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 18/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 19/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 20/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 21/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 22/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 23/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 24/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 25/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 26/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 27/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 28/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 29/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 30/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Channel 31/32 :    0
n23g0004:1893559:1893657 [0] NCCL INFO Trees [0] -1/-1/-1->0->-1 [1] -1/-1/-1->0->-1 [2] -1/-1/-1->0->-1 [3] -1/-1/-1->0->-1 [4] -1/-1/-1->0->-1 [5] -1/-1/-1->0->-1 [6] -1/-1/-1->0->-1 [7] -1/-1/-1->0->-1 [8] -1/-1/-1->0->-1 [9] -1/-1/-1->0->-1 [10] -1/-1/-1->0->-1 [11] -1/-1/-1->0->-1 [12] -1/-1/-1->0->-1 [13] -1/-1/-1->0->-1 [14] -1/-1/-1->0->-1 [15] -1/-1/-1->0->-1 [16] -1/-1/-1->0->-1 [17] -1/-1/-1->0->-1 [18] -1/-1/-1->0->-1 [19] -1/-1/-1->0->-1 [20] -1/-1/-1->0->-1 [21] -1/-1/-1->0->-1 [22] -1/-1/-1->0->-1 [23] -1/-1/-1->0->-1 [24] -1/-1/-1->0->-1 [25] -1/-1/-1->0->-1 [26] -1/-1/-1->0->-1 [27] -1/-1/-1->0->-1 [28] -1/-1/-1->0->-1 [29] -1/-1/-1->0->-1 [30] -1/-1/-1->0->-1 [31] -1/-1/-1->0->-1
n23g0004:1893559:1893657 [0] NCCL INFO P2P Chunksize set to 131072
n23g0004:1893559:1893657 [0] NCCL INFO Connected all rings
n23g0004:1893559:1893657 [0] NCCL INFO Connected all trees
n23g0004:1893559:1893657 [0] NCCL INFO 32 coll channels, 0 collnet channels, 0 nvls channels, 32 p2p channels, 32 p2p channels per peer
n23g0004:1893559:1893657 [0] NCCL INFO comm 0x5555fd538fe0 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 2c000 commId 0xaa6c108e1e6adf77 - Init COMPLETE
{'loss': 2.1461, 'grad_norm': 2.1244256496429443, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.6781, 'grad_norm': 3.2246084213256836, 'learning_rate': 2.475618904726182e-07, 'epoch': 0.03}
{'loss': 1.6985, 'grad_norm': 2.1068055629730225, 'learning_rate': 4.976244061015254e-07, 'epoch': 0.05}
{'loss': 1.6542, 'grad_norm': 1.8973430395126343, 'learning_rate': 7.451862965741435e-07, 'epoch': 0.08}
{'loss': 1.5829, 'grad_norm': 1.225303053855896, 'learning_rate': 9.952488122030508e-07, 'epoch': 0.1}
{'loss': 1.5569, 'grad_norm': 2.5435431003570557, 'learning_rate': 1.2428107026756691e-06, 'epoch': 0.13}
{'loss': 1.5444, 'grad_norm': 4.072922706604004, 'learning_rate': 1.4928732183045763e-06, 'epoch': 0.15}
{'loss': 1.5757, 'grad_norm': 3.451205015182495, 'learning_rate': 1.7429357339334835e-06, 'epoch': 0.18}
{'loss': 1.6718, 'grad_norm': 1.9892566204071045, 'learning_rate': 1.9929982495623906e-06, 'epoch': 0.2}
{'loss': 1.6121, 'grad_norm': 1.7643662691116333, 'learning_rate': 2.243060765191298e-06, 'epoch': 0.23}
{'loss': 1.5984, 'grad_norm': 3.6803054809570312, 'learning_rate': 2.4931232808202054e-06, 'epoch': 0.25}
{'loss': 1.6374, 'grad_norm': 3.25112247467041, 'learning_rate': 2.7431857964491125e-06, 'epoch': 0.28}
{'loss': 1.5085, 'grad_norm': 2.2378501892089844, 'learning_rate': 2.9932483120780197e-06, 'epoch': 0.3}
{'loss': 1.4839, 'grad_norm': 9.982205390930176, 'learning_rate': 3.243310827706927e-06, 'epoch': 0.33}
{'loss': 1.4305, 'grad_norm': 2.3810765743255615, 'learning_rate': 3.493373343335834e-06, 'epoch': 0.35}
{'loss': 1.3931, 'grad_norm': 2.507985830307007, 'learning_rate': 3.743435858964741e-06, 'epoch': 0.38}
{'loss': 1.3899, 'grad_norm': 2.767841339111328, 'learning_rate': 3.993498374593649e-06, 'epoch': 0.4}
{'loss': 1.2484, 'grad_norm': 4.436124324798584, 'learning_rate': 4.243560890222556e-06, 'epoch': 0.43}
{'loss': 1.2544, 'grad_norm': 2.8820409774780273, 'learning_rate': 4.4936234058514635e-06, 'epoch': 0.45}
{'loss': 1.3189, 'grad_norm': 4.324813365936279, 'learning_rate': 4.74368592148037e-06, 'epoch': 0.48}
{'loss': 1.3059, 'grad_norm': 2.567770481109619, 'learning_rate': 4.993748437109278e-06, 'epoch': 0.5}
{'loss': 1.2118, 'grad_norm': 5.67978572845459, 'learning_rate': 5.243810952738185e-06, 'epoch': 0.53}
{'loss': 1.2331, 'grad_norm': 4.241684436798096, 'learning_rate': 5.493873468367092e-06, 'epoch': 0.55}
{'loss': 1.1603, 'grad_norm': 2.837617874145508, 'learning_rate': 5.743935983996e-06, 'epoch': 0.58}
{'loss': 1.2395, 'grad_norm': 2.8388681411743164, 'learning_rate': 5.991497874468618e-06, 'epoch': 0.6}
{'loss': 1.1859, 'grad_norm': 2.6964681148529053, 'learning_rate': 6.241560390097525e-06, 'epoch': 0.63}
{'loss': 1.2275, 'grad_norm': 3.3803446292877197, 'learning_rate': 6.491622905726433e-06, 'epoch': 0.65}
{'loss': 1.1791, 'grad_norm': 5.101422309875488, 'learning_rate': 6.741685421355339e-06, 'epoch': 0.68}
{'loss': 1.2227, 'grad_norm': 3.320844888687134, 'learning_rate': 6.991747936984247e-06, 'epoch': 0.7}
{'loss': 1.1866, 'grad_norm': 2.556551694869995, 'learning_rate': 7.241810452613154e-06, 'epoch': 0.73}
{'loss': 1.1132, 'grad_norm': 10.805426597595215, 'learning_rate': 7.491872968242061e-06, 'epoch': 0.75}
{'loss': 1.1401, 'grad_norm': 4.873913764953613, 'learning_rate': 7.741935483870968e-06, 'epoch': 0.78}
{'loss': 1.1056, 'grad_norm': 2.715223789215088, 'learning_rate': 7.991997999499875e-06, 'epoch': 0.8}
{'loss': 1.1716, 'grad_norm': 5.001376628875732, 'learning_rate': 8.242060515128783e-06, 'epoch': 0.83}
{'loss': 1.1435, 'grad_norm': 3.0894405841827393, 'learning_rate': 8.49212303075769e-06, 'epoch': 0.85}
{'loss': 1.0626, 'grad_norm': 3.5356431007385254, 'learning_rate': 8.742185546386598e-06, 'epoch': 0.88}
{'loss': 1.0925, 'grad_norm': 4.018002986907959, 'learning_rate': 8.992248062015505e-06, 'epoch': 0.9}
{'loss': 1.0558, 'grad_norm': 3.406616449356079, 'learning_rate': 9.242310577644412e-06, 'epoch': 0.93}
{'loss': 1.1413, 'grad_norm': 6.777645111083984, 'learning_rate': 9.492373093273319e-06, 'epoch': 0.95}
{'loss': 0.9786, 'grad_norm': 10.772688865661621, 'learning_rate': 9.742435608902227e-06, 'epoch': 0.98}
{'eval_loss': 0.8300605416297913, 'eval_wer': 0.4135107062959412, 'eval_runtime': 1518.4866, 'eval_samples_per_second': 5.268, 'eval_steps_per_second': 5.268, 'epoch': 1.0}
{'loss': 1.0043, 'grad_norm': 3.8132927417755127, 'learning_rate': 9.992498124531134e-06, 'epoch': 1.0}
{'loss': 1.0689, 'grad_norm': 3.205829620361328, 'learning_rate': 1e-05, 'epoch': 1.03}
{'loss': 0.9051, 'grad_norm': 7.830990791320801, 'learning_rate': 1e-05, 'epoch': 1.05}
{'loss': 1.0529, 'grad_norm': 3.8912224769592285, 'learning_rate': 1e-05, 'epoch': 1.08}
{'loss': 1.0395, 'grad_norm': 1.6940853595733643, 'learning_rate': 1e-05, 'epoch': 1.1}
{'loss': 0.9894, 'grad_norm': 5.210776329040527, 'learning_rate': 1e-05, 'epoch': 1.13}
{'loss': 1.0546, 'grad_norm': 4.481863975524902, 'learning_rate': 1e-05, 'epoch': 1.15}
