[DIST] MASTER_ADDR=n23g0007 MASTER_PORT=29500 NNODES=1 GPUS_PER_NODE=1
[PRE] Skipping all preprocessing (skip_preprocessing=on or all per-step toggles are 'on')
[TRAIN][ASR] Starting ASR phase ...
[Setup] Using device: cuda
[Setup] no_cuda flag set to: False
[ASR] Loading model + processor…
[ASR] Starting from pretrained: models/pretrained/en
🛠️  Debug collator output shapes: {'input_values': torch.Size([4, 75264]), 'attention_mask': torch.Size([4, 75264]), 'labels': torch.Size([4, 93])}
[ASR] Starting training with HuggingFace Trainer…
n23g0007:1056131:1056131 [0] NCCL INFO Bootstrap : Using ib0:134.61.46.195<0>
n23g0007:1056131:1056131 [0] NCCL INFO NET/Plugin : dlerror=libnccl-net.so: cannot open shared object file: No such file or directory No plugin found (libnccl-net.so), using internal implementation
n23g0007:1056131:1056131 [0] NCCL INFO cudaDriverVersion 12080
NCCL version 2.20.5+cuda12.4
n23g0007:1056131:1056212 [0] NCCL INFO NET/IB : Using [0]mlx5_0:1/IB [1]mlx5_1:1/IB [RO]; OOB ib0:134.61.46.195<0>
n23g0007:1056131:1056212 [0] NCCL INFO Using non-device net plugin version 0
n23g0007:1056131:1056212 [0] NCCL INFO Using network IB
n23g0007:1056131:1056212 [0] NCCL INFO DMA-BUF is available on GPU device 0
n23g0007:1056131:1056212 [0] NCCL INFO comm 0x55838c190e80 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 2c000 commId 0xb751f061727028bb - Init START
n23g0007:1056131:1056212 [0] NCCL INFO comm 0x55838c190e80 rank 0 nRanks 1 nNodes 1 localRanks 1 localRank 0 MNNVL 0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 00/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 01/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 02/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 03/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 04/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 05/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 06/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 07/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 08/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 09/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 10/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 11/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 12/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 13/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 14/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 15/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 16/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 17/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 18/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 19/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 20/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 21/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 22/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 23/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 24/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 25/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 26/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 27/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 28/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 29/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 30/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Channel 31/32 :    0
n23g0007:1056131:1056212 [0] NCCL INFO Trees [0] -1/-1/-1->0->-1 [1] -1/-1/-1->0->-1 [2] -1/-1/-1->0->-1 [3] -1/-1/-1->0->-1 [4] -1/-1/-1->0->-1 [5] -1/-1/-1->0->-1 [6] -1/-1/-1->0->-1 [7] -1/-1/-1->0->-1 [8] -1/-1/-1->0->-1 [9] -1/-1/-1->0->-1 [10] -1/-1/-1->0->-1 [11] -1/-1/-1->0->-1 [12] -1/-1/-1->0->-1 [13] -1/-1/-1->0->-1 [14] -1/-1/-1->0->-1 [15] -1/-1/-1->0->-1 [16] -1/-1/-1->0->-1 [17] -1/-1/-1->0->-1 [18] -1/-1/-1->0->-1 [19] -1/-1/-1->0->-1 [20] -1/-1/-1->0->-1 [21] -1/-1/-1->0->-1 [22] -1/-1/-1->0->-1 [23] -1/-1/-1->0->-1 [24] -1/-1/-1->0->-1 [25] -1/-1/-1->0->-1 [26] -1/-1/-1->0->-1 [27] -1/-1/-1->0->-1 [28] -1/-1/-1->0->-1 [29] -1/-1/-1->0->-1 [30] -1/-1/-1->0->-1 [31] -1/-1/-1->0->-1
n23g0007:1056131:1056212 [0] NCCL INFO P2P Chunksize set to 131072
n23g0007:1056131:1056212 [0] NCCL INFO Connected all rings
n23g0007:1056131:1056212 [0] NCCL INFO Connected all trees
n23g0007:1056131:1056212 [0] NCCL INFO 32 coll channels, 0 collnet channels, 0 nvls channels, 32 p2p channels, 32 p2p channels per peer
n23g0007:1056131:1056212 [0] NCCL INFO comm 0x55838c190e80 rank 0 nranks 1 cudaDev 0 nvmlDev 0 busId 2c000 commId 0xb751f061727028bb - Init COMPLETE
{'loss': 2.1461, 'grad_norm': 1.9038257598876953, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 1.6782, 'grad_norm': 2.8717498779296875, 'learning_rate': 2.450612653163291e-07, 'epoch': 0.03}
{'loss': 1.6989, 'grad_norm': 2.1437113285064697, 'learning_rate': 4.951237809452364e-07, 'epoch': 0.05}
{'loss': 1.6543, 'grad_norm': 1.724655032157898, 'learning_rate': 7.451862965741435e-07, 'epoch': 0.08}
{'loss': 1.5836, 'grad_norm': 1.1314561367034912, 'learning_rate': 9.952488122030508e-07, 'epoch': 0.1}
{'loss': 1.5577, 'grad_norm': 2.4551875591278076, 'learning_rate': 1.2428107026756691e-06, 'epoch': 0.13}
{'loss': 1.5458, 'grad_norm': 3.7257795333862305, 'learning_rate': 1.4928732183045763e-06, 'epoch': 0.15}
{'loss': 1.5774, 'grad_norm': 2.6462788581848145, 'learning_rate': 1.7429357339334835e-06, 'epoch': 0.18}
{'loss': 1.6739, 'grad_norm': 1.8634402751922607, 'learning_rate': 1.9929982495623906e-06, 'epoch': 0.2}
{'loss': 1.6138, 'grad_norm': 1.741684913635254, 'learning_rate': 2.243060765191298e-06, 'epoch': 0.23}
{'loss': 1.6003, 'grad_norm': 3.7323262691497803, 'learning_rate': 2.4931232808202054e-06, 'epoch': 0.25}
{'loss': 1.6406, 'grad_norm': 3.0674142837524414, 'learning_rate': 2.7431857964491125e-06, 'epoch': 0.28}
{'loss': 1.5107, 'grad_norm': 2.3990862369537354, 'learning_rate': 2.9932483120780197e-06, 'epoch': 0.3}
{'loss': 1.4848, 'grad_norm': 14.215959548950195, 'learning_rate': 3.243310827706927e-06, 'epoch': 0.33}
{'loss': 1.429, 'grad_norm': 2.5397863388061523, 'learning_rate': 3.493373343335834e-06, 'epoch': 0.35}
{'loss': 1.3935, 'grad_norm': 2.6450631618499756, 'learning_rate': 3.743435858964741e-06, 'epoch': 0.38}
{'loss': 1.39, 'grad_norm': 1.9481431245803833, 'learning_rate': 3.993498374593649e-06, 'epoch': 0.4}
{'loss': 1.2477, 'grad_norm': 4.424164772033691, 'learning_rate': 4.243560890222556e-06, 'epoch': 0.43}
{'loss': 1.2542, 'grad_norm': 2.820953845977783, 'learning_rate': 4.4936234058514635e-06, 'epoch': 0.45}
{'loss': 1.3167, 'grad_norm': 8.749886512756348, 'learning_rate': 4.74368592148037e-06, 'epoch': 0.48}
{'loss': 1.3039, 'grad_norm': 2.845219612121582, 'learning_rate': 4.993748437109278e-06, 'epoch': 0.5}
{'loss': 1.2071, 'grad_norm': 4.791228771209717, 'learning_rate': 5.243810952738185e-06, 'epoch': 0.53}
{'loss': 1.2309, 'grad_norm': 4.139822959899902, 'learning_rate': 5.493873468367092e-06, 'epoch': 0.55}
{'loss': 1.1563, 'grad_norm': 3.0922231674194336, 'learning_rate': 5.743935983996e-06, 'epoch': 0.58}
{'loss': 1.2373, 'grad_norm': 2.7446553707122803, 'learning_rate': 5.991497874468618e-06, 'epoch': 0.6}
{'loss': 1.1827, 'grad_norm': 2.332620143890381, 'learning_rate': 6.241560390097525e-06, 'epoch': 0.63}
{'loss': 1.224, 'grad_norm': 3.368867874145508, 'learning_rate': 6.491622905726433e-06, 'epoch': 0.65}
{'loss': 1.1787, 'grad_norm': 5.448963165283203, 'learning_rate': 6.741685421355339e-06, 'epoch': 0.68}
{'loss': 1.2164, 'grad_norm': 3.879279851913452, 'learning_rate': 6.991747936984247e-06, 'epoch': 0.7}
{'loss': 1.1784, 'grad_norm': 3.910506248474121, 'learning_rate': 7.241810452613154e-06, 'epoch': 0.73}
{'loss': 1.1112, 'grad_norm': 5.731999397277832, 'learning_rate': 7.491872968242061e-06, 'epoch': 0.75}
{'loss': 1.1345, 'grad_norm': 6.073763847351074, 'learning_rate': 7.741935483870968e-06, 'epoch': 0.78}
{'loss': 1.1027, 'grad_norm': 2.1971805095672607, 'learning_rate': 7.991997999499875e-06, 'epoch': 0.8}
{'loss': 1.1699, 'grad_norm': 4.932930946350098, 'learning_rate': 8.242060515128783e-06, 'epoch': 0.83}
{'loss': 1.139, 'grad_norm': 3.714263916015625, 'learning_rate': 8.49212303075769e-06, 'epoch': 0.85}
{'loss': 1.0597, 'grad_norm': 3.639244794845581, 'learning_rate': 8.742185546386598e-06, 'epoch': 0.88}
{'loss': 1.091, 'grad_norm': 3.972803831100464, 'learning_rate': 8.992248062015505e-06, 'epoch': 0.9}
{'loss': 1.052, 'grad_norm': 3.7454798221588135, 'learning_rate': 9.242310577644412e-06, 'epoch': 0.93}
{'loss': 1.1399, 'grad_norm': 5.4749979972839355, 'learning_rate': 9.492373093273319e-06, 'epoch': 0.95}
{'loss': 0.9744, 'grad_norm': 6.573873043060303, 'learning_rate': 9.742435608902227e-06, 'epoch': 0.98}
{'eval_loss': 0.8275712728500366, 'eval_wer': 0.4083972515180569, 'eval_runtime': 1430.0437, 'eval_samples_per_second': 5.594, 'eval_steps_per_second': 5.594, 'epoch': 1.0}
{'loss': 0.9991, 'grad_norm': 3.7411293983459473, 'learning_rate': 9.992498124531134e-06, 'epoch': 1.0}
{'loss': 1.0695, 'grad_norm': 3.2159316539764404, 'learning_rate': 1e-05, 'epoch': 1.03}
{'loss': 0.9017, 'grad_norm': 6.052206039428711, 'learning_rate': 1e-05, 'epoch': 1.05}
{'loss': 1.0486, 'grad_norm': 4.090420722961426, 'learning_rate': 1e-05, 'epoch': 1.08}
{'loss': 1.0355, 'grad_norm': 2.1854705810546875, 'learning_rate': 1e-05, 'epoch': 1.1}
{'loss': 0.9867, 'grad_norm': 4.517586708068848, 'learning_rate': 1e-05, 'epoch': 1.13}
{'loss': 1.0526, 'grad_norm': 3.2917752265930176, 'learning_rate': 1e-05, 'epoch': 1.15}
